keys,en,it
ITEM_OLD_KEY_NAME,Old Key,Vecchia Chiave
ITEM_OLD_KEY_DESC,A rusty old key. It might open something.,Una vecchia chiave arrugginita. Potrebbe aprire qualcosa.
ITEM_KITCHEN_KNIFE_NAME,Kitchen Knife,Coltello da Cucina
ITEM_KITCHEN_KNIFE_DESC,A sharp kitchen knife. Good for close combat.,Un coltello da cucina affilato. Utile nel corpo a corpo.
ITEM_HANDGUN_NAME,Handgun,Pistola
ITEM_HANDGUN_DESC,A worn handgun. Needs ammunition to fire.,Una pistola consumata dal tempo. Richiede munizioni per sparare.
ITEM_PISTOL_AMMO_NAME,Pistol Ammo,Munizioni per Pistola
ITEM_PISTOL_AMMO_DESC,A handful of rounds for a handgun.,Una manciata di proiettili per pistola.
ITEM_BRASS_MEDALLION_NAME,Brass Medallion,Medaglione di Ottone
ITEM_BRASS_MEDALLION_DESC,A tarnished medallion engraved with a watchful eye. It feels older than it looks.,Un medaglione appannato inciso con un occhio vigile. Sembra più antico di quanto sembri.
